OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev
248,THE NEVADA CENTER FOR REPRODUCTIVE MEDICINE,,RENO,NEVADA,"Scott J. Whitten, MD",83,54,52,29,49.4%,35.2%,21.2%,3.4%,43.4%,33.3%,21.2%,3.4%,79,49,47,26,51.9%,38.8%,23.4%,3.8%,45.6%,36.7%,23.4%,3.8%,69,36,20,*,59.4%,52.8%,55.0%,* / *,52.2%,50.0%,55.0%,* / *,2.0,2.8,4.7,29.0,53.4%,32.4%,22.6%,* / 13,63.8%,50.0%,32.3%,* / 13,63.8%,52.9%,32.3%,* / 13,1.2,1.3,1.5,1.5,0.9,0.7,0.4,0.1,0,0,25,38,,,44.0%,44.7%,,,44.0%,36.8%,215,149,88,87,539,2.2%,6.7%,10.6%,10.8%,6.3%,6.6%,11.1%,12.0%,16.9%,10.3%,1.4%,3.4%,0.0%,1.1%,1.7%,4.3%,4.3%,5.1%,23.9%,7.7%,98.3%,100.0%,100.0%,100.0%,99.3%,84.6%,82.6%,79.5%,45.7%,76.8%,83.8%,84.1%,74.4%,56.5%,77.9%,26%,5%,19%,21%,6%,78%,3%,31%,37%,5%,82%,5%,4%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NV
249,REPRODUCTIVE MEDICINE ASSOCIATES OF NEW JERSEY,,BASKING RIDGE,NEW JERSEY,"Michael R. Drews, MD","1,179",663,574,427,65.7%,53.5%,37.6%,16.9%,64.2%,52.0%,37.1%,16.4%,"1,165",642,551,397,66.5%,55.3%,39.2%,18.1%,65.0%,53.7%,38.7%,17.6%,"1,262",586,386,140,61.4%,60.6%,56.0%,51.4%,60.0%,58.9%,55.2%,50.0%,1.5,1.9,2.7,5.9,70.1%,58.1%,39.8%,15.5%,76.2%,66.7%,50.7%,20.3%,77.2%,68.6%,52.1%,22.8%,1.1,1.2,1.3,1.3,1.1,0.9,0.7,0.3,0,0,391,48,,,58.3%,50.0%,,,54.5%,47.9%,"3,373","1,995","1,632","1,248","8,248",1.8%,2.3%,4.9%,6.4%,3.3%,3.6%,5.3%,7.7%,12.8%,6.2%,5.3%,5.8%,6.5%,5.2%,5.7%,1.7%,1.9%,2.1%,8.3%,2.8%,100.0%,100.0%,100.0%,100.0%,100.0%,92.9%,90.9%,85.5%,63.7%,86.8%,72.9%,79.8%,81.5%,74.5%,76.4%,67%,5%,12%,17%,8%,19%,1%,35%,45%,15%,22%,3%,<1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NJ
250,CLIFTON LOW COST IVF,,CLIFTON,NEW JERSEY,"Charles Haddad, MD",*,*,*,*,* / *,0 / *,* / *,0 / *,* / *,0 / *,* / *,0 / *,*,*,*,0,* / *,0 / *,* / *,,* / *,0 / *,* / *,,*,*,*,0,* / *,0 / *,* / *,,* / *,0 / *,* / *,,3.0,,3.0,,* / *,0 / *,0 / *,0 / *,* / *,0 / *,0 / *,0 / *,* / *,0 / *,0 / *,0 / *,1.0,1.5,1.0,1.0,1.0,0.7,0.5,0.0,0,0,0,0,,,,,,,,,12,5,*,*,24,0 / 8,* / *,* / *,0 / *,* / 17,* / 12,* / *,* / *,* / *,31.8%,0 / 12,0 / 5,0 / *,0 / *,0.0%,0 / 10,0 / *,0 / *,0 / *,0 / 15,* / 10,0 / *,* / *,0 / *,* / 15,10 / 10,* / *,* / *,* / *,15 / 15,* / 10,* / *,* / *,0 / *,7 / 15,21%,0%,17%,0%,0%,17%,0%,25%,0%,4%,17%,8%,25%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,NJ
251,NJ BEST OB/GYN,,CLIFTON,NEW JERSEY,"Fares Diarbakerli, MD",*,*,*,*,* / *,0 / *,0 / *,0 / *,* / *,0 / *,0 / *,0 / *,*,*,*,*,* / *,0 / *,0 / *,0 / *,* / *,0 / *,0 / *,0 / *,*,*,*,0,* / *,0 / *,0 / *,,* / *,0 / *,0 / *,,2.0,,,,* / *,0 / *,0 / *,0 / *,* / *,0 / *,0 / *,0 / *,* / *,0 / *,0 / *,0 / *,1.0,1.0,1.5,1.0,1.5,1.0,0.7,0.0,0,0,0,*,,,,* / *,,,,* / *,8,*,*,6,17,0 / *,,0 / *,0 / *,0 / 9,* / 8,0 / *,* / *,* / 6,5 / 17,0 / 8,0 / *,0 / *,0 / 6,0 / 17,0 / 6,0 / *,0 / *,0 / *,0 / 12,* / 6,* / *,0 / *,* / *,7 / 12,6 / 6,* / *,* / *,* / *,12 / 12,* / 6,0 / *,0 / *,0 / *,* / 12,* / 17,* / 17,* / 17,0 / 17,0 / 17,* / 17,0 / 17,7 / 17,0 / 17,0 / 17,0 / 17,0 / 17,* / 17,Yes,No,Yes,Yes,Yes,No,Yes,0,NJ
252,REPRODUCTIVE SCIENCE CENTER OF NEW JERSEY,,EATONTOWN,NEW JERSEY,"William Ziegler, DO",93,55,39,21,49.5%,40.0%,25.6%,0.0%,46.2%,38.2%,23.1%,0.0%,86,55,32,16,53.5%,40.0%,31.3%,0 / 16,50.0%,38.2%,28.1%,0 / 16,116,59,33,7,39.7%,37.3%,30.3%,0 / 7,37.1%,35.6%,27.3%,0 / 7,2.0,2.5,3.9,,55.1%,40.6%,30.8%,0 / 11,62.3%,46.9%,34.6%,0 / 11,62.3%,46.9%,34.6%,0 / 11,1.2,1.2,1.3,1.3,1.3,1.2,0.8,0.4,*,12,7,0,* / *,* / 12,* / 7,,* / *,* / 12,* / 7,,231,123,93,50,497,2.4%,4.2%,6.9%,23.3%,6.0%,14.0%,16.7%,18.0%,27.9%,16.7%,1.7%,4.1%,2.2%,0.0%,2.2%,0.0%,0.0%,0.0%,3.6%,0.3%,62.0%,70.6%,64.0%,35.7%,61.8%,63.8%,52.9%,56.0%,60.7%,59.9%,22.1%,35.3%,42.0%,14.3%,27.5%,54%,4%,19%,25%,1%,2%,0%,40%,19%,2%,5%,1%,3%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NJ
253,CENTER FOR ADVANCED REPRODUCTIVE MEDICINE & FERTILITY,,EDISON,NEW JERSEY,"Gregory H. Corsan, MD",81,36,53,34,48.1%,27.8%,22.6%,11.8%,45.7%,27.8%,22.6%,11.8%,78,33,44,28,50.0%,30.3%,27.3%,14.3%,47.4%,30.3%,27.3%,14.3%,77,31,29,8,50.6%,32.3%,41.4%,* / 8,48.1%,32.3%,41.4%,* / 8,2.1,3.6,4.4,8.5,50.8%,36.0%,23.1%,* / 19,55.6%,36.0%,30.8%,* / 19,55.6%,36.0%,30.8%,* / 19,1.1,1.1,1.3,1.1,1.0,0.9,0.5,0.3,0,*,20,6,,0 / *,40.0%,* / 6,,0 / *,40.0%,* / 6,152,80,70,67,369,10.8%,6.1%,15.0%,0.0%,9.2%,4.1%,9.0%,17.2%,20.9%,10.7%,0.7%,0.0%,1.4%,0.0%,0.5%,1.2%,0.0%,0.0%,20.0%,3.8%,98.8%,97.7%,100.0%,100.0%,98.9%,70.2%,62.8%,57.1%,56.7%,64.3%,71.4%,76.7%,60.7%,63.3%,69.7%,33%,4%,11%,23%,0%,2%,1%,31%,37%,1%,7%,1%,9%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NJ
254,WOMEN'S FERTILITY CENTER,,ENGLEWOOD,NEW JERSEY,"Philip R. Lesorgen, MD",10,5,8,16,5 / 10,* / 5,0 / 8,0 / 16,* / 10,0 / 5,0 / 8,0 / 16,9,*,7,12,5 / 9,* / *,0 / 7,0 / 12,* / 9,0 / *,0 / 7,0 / 12,8,*,5,10,5 / 8,* / *,0 / 5,0 / 10,* / 8,0 / *,0 / 5,0 / 10,2.0,5.0,,,* / 6,* / 5,0 / *,0 / *,5 / 6,* / 5,0 / *,0 / *,5 / 6,* / 5,0 / *,0 / *,1.3,1.0,1.0,1.3,0.8,0.2,0.0,0.8,0,0,0,0,,,,,,,,,7,5,12,8,32,0 / 6,0 / *,* / 10,* / 8,10.7%,* / 7,* / 5,* / 10,* / 7,37.9%,* / 7,0 / 5,0 / 12,* / 8,6.3%,0 / 5,0 / *,0 / 8,0 / *,0 / 16,0 / 5,0 / *,* / 8,0 / *,* / 16,5 / 5,* / *,8 / 8,* / *,16 / 16,* / 5,* / *,* / 8,0 / *,* / 16,25%,0%,16%,0%,0%,25%,0%,28%,6%,6%,3%,9%,3%,No,No,Yes,Yes,No,No,Yes,0,NJ
255,NORTH HUDSON IVF,CENTER FOR FERTILITY AND GYNECOLOGY,ENGLEWOOD CLIFFS,NEW JERSEY,"Jane E. Miller, MD",6,*,*,*,0 / 6,0 / *,0 / *,0 / *,0 / 6,0 / *,0 / *,0 / *,6,*,*,0,0 / 6,0 / *,0 / *,,0 / 6,0 / *,0 / *,,*,0,*,0,0 / *,,0 / *,,0 / *,,0 / *,,,,,,0 / *,0 / *,,,0 / *,0 / *,,,0 / *,0 / *,,,1.3,3.0,,,0.5,0.0,,,0,0,5,0,,,* / 5,,,,* / 5,,12,12,*,10,38,0 / 6,0 / 10,0 / *,* / 6,3.8%,0 / 12,* / 12,0 / *,0 / 9,2.7%,0 / 12,0 / 12,0 / *,0 / 10,0.0%,0 / 6,0 / *,,0 / *,0 / 11,6 / 6,* / *,,* / *,11 / 11,6 / 6,* / *,,* / *,11 / 11,6 / 6,* / *,,* / *,11 / 11,18%,13%,5%,0%,8%,79%,0%,42%,79%,18%,3%,0%,0%,Yes,No,Yes,Yes,Yes,No,No,0,NJ
256,"UNIVERSITY REPRODUCTIVE ASSOCIATES, PC",,HASBROUCK HEIGHTS,NEW JERSEY,"Peter G. McGovern, MD",135,62,69,84,28.9%,22.6%,13.0%,7.1%,25.2%,17.7%,10.1%,7.1%,131,61,67,78,29.8%,23.0%,13.4%,7.7%,26.0%,18.0%,10.4%,7.7%,138,55,49,36,28.3%,25.5%,18.4%,16.7%,24.6%,20.0%,14.3%,16.7%,3.5,4.4,7.7,14.0,30.7%,20.6%,2.7%,14.0%,37.5%,23.5%,13.5%,14.0%,38.6%,23.5%,13.5%,14.0%,1.3,1.1,1.3,1.5,1.1,0.9,0.8,0.4,*,10,25,*,* / *,* / 10,28.0%,* / *,* / *,* / 10,28.0%,* / *,200,170,161,172,703,0.0%,1.0%,0.9%,11.1%,3.4%,5.5%,8.9%,14.4%,21.4%,12.1%,7.5%,8.2%,5.0%,1.2%,5.5%,1.5%,2.2%,0.0%,2.3%,1.6%,62.3%,74.4%,66.7%,55.2%,64.4%,81.5%,84.4%,85.3%,70.1%,80.4%,46.9%,55.6%,50.7%,34.5%,46.9%,43%,2%,14%,9%,5%,1%,1%,37%,37%,11%,3%,1%,9%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,NJ
257,SHORE INSTITUTE FOR REPRODUCTIVE MEDICINE DBA,MORGAN FERTILITY AND REPRODUCTIVE MEDICINE,LAKEWOOD,NEW JERSEY,"Allen Morgan, MD",64,53,30,18,25.0%,18.9%,16.7%,0 / 18,25.0%,18.9%,16.7%,0 / 18,55,39,21,13,29.1%,25.6%,23.8%,0 / 13,29.1%,25.6%,23.8%,0 / 13,61,40,16,10,26.2%,25.0%,5 / 16,0 / 10,26.2%,25.0%,5 / 16,0 / 10,4.0,5.3,6.0,,26.2%,* / 14,* / 12,0 / 10,28.6%,5 / 14,* / 12,0 / 10,28.6%,5 / 14,* / 12,0 / 10,1.3,1.4,1.7,1.2,0.9,0.9,0.5,0.8,0,0,5,0,,,* / 5,,,,* / 5,,91,47,28,33,199,11.9%,33.3%,* / 14,* / 19,19.6%,15.1%,7.9%,12.0%,26.7%,15.1%,1.1%,2.1%,0.0%,0.0%,1.0%,1.8%,0.0%,0 / 16,* / 15,2.7%,78.2%,76.0%,14 / 16,11 / 15,78.4%,21.8%,24.0%,* / 16,* / 15,20.7%,27.3%,44.0%,5 / 16,* / 15,30.6%,19%,6%,15%,15%,4%,3%,1%,8%,21%,3%,4%,2%,33%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NJ
258,INSTITUTE FOR REPRODUCTIVE MEDICINE AND SCIENCE,SAINT BARNABAS MEDICAL CENTER,LIVINGSTON,NEW JERSEY,"Margaret G. Garrisi, MD",287,225,221,184,50.2%,35.6%,19.5%,6.5%,47.7%,34.2%,18.1%,6.5%,282,206,180,136,51.1%,38.8%,23.9%,8.8%,48.6%,37.4%,22.2%,8.8%,280,199,123,71,51.4%,40.2%,35.0%,16.9%,48.9%,38.7%,32.5%,16.9%,2.0,2.8,5.1,15.3,55.4%,40.0%,25.3%,8.3%,59.6%,48.5%,31.3%,9.7%,60.1%,50.8%,31.3%,9.7%,1.2,1.4,1.5,1.5,1.0,0.9,0.6,0.4,0,26,77,0,,26.9%,46.8%,,,26.9%,46.8%,,646,431,448,415,"1,940",3.8%,9.5%,14.4%,21.5%,11.6%,5.1%,5.6%,6.6%,13.4%,7.2%,5.6%,7.4%,5.6%,2.7%,5.4%,1.6%,0.8%,4.1%,1.5%,1.9%,73.0%,77.5%,75.0%,63.1%,72.6%,86.8%,89.6%,87.7%,82.3%,86.8%,49.2%,58.8%,59.5%,45.5%,52.9%,21%,7%,9%,24%,7%,2%,<1%,27%,34%,7%,3%,1%,17%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,NJ
259,DELAWARE VALLEY INSTITUTE OF FERTILITY AND GENETICS,,MARLTON,NEW JERSEY,"George S. Taliadouros, MD",27,11,8,14,44.4%,* / 11,* / 8,* / 14,44.4%,* / 11,* / 8,* / 14,23,10,6,10,52.2%,* / 10,* / 6,* / 10,52.2%,* / 10,* / 6,* / 10,35,8,*,9,34.3%,* / 8,* / *,* / 9,34.3%,* / 8,* / *,* / 9,2.3,2.8,4.0,4.7,9 / 17,* / 7,0 / 5,* / 8,10 / 17,* / 7,0 / 5,* / 8,10 / 17,* / 7,0 / 5,* / 8,1.2,1.0,1.2,1.1,1.5,0.7,0.3,0.8,*,0,*,*,0 / *,,* / *,0 / *,0 / *,,* / *,0 / *,55,30,16,17,118,14.3%,0 / 15,* / 9,* / 10,11.3%,2.0%,0.0%,* / 15,0 / 15,2.7%,0.0%,3.3%,0 / 16,0 / 17,0.8%,0.0%,0.0%,* / 13,0 / 12,1.0%,57.8%,57.7%,7 / 13,7 / 12,57.3%,26.7%,50.0%,0 / 13,* / 12,30.2%,2.2%,3.8%,0 / 13,* / 12,4.2%,25%,4%,15%,49%,4%,0%,0%,13%,11%,0%,8%,3%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Pending,0,NJ
260,SOUTH JERSEY FERTILITY CENTER,,MARLTON,NEW JERSEY,"Peter G. Van Deerlin, MD",145,63,91,47,44.8%,42.9%,20.9%,10.6%,42.1%,31.7%,20.9%,10.6%,140,59,84,35,46.4%,45.8%,22.6%,14.3%,43.6%,33.9%,22.6%,14.3%,150,50,55,21,43.3%,54.0%,34.5%,23.8%,40.7%,40.0%,34.5%,23.8%,2.2,2.3,4.8,9.4,50.5%,47.6%,23.9%,0 / 19,55.6%,52.4%,28.3%,* / 19,55.6%,54.8%,30.4%,* / 19,1.1,1.2,1.5,1.3,1.1,0.9,0.6,0.4,10,11,34,27,5 / 10,* / 11,47.1%,48.1%,5 / 10,* / 11,35.3%,48.1%,349,202,149,148,848,4.5%,6.6%,14.3%,11.6%,7.8%,16.7%,16.4%,21.6%,18.6%,17.8%,0.6%,2.5%,2.0%,7.4%,2.5%,1.1%,0.0%,0.0%,0.0%,0.4%,88.3%,83.0%,81.3%,65.9%,81.4%,64.2%,50.9%,43.8%,34.1%,51.5%,43.6%,47.2%,50.0%,18.7%,40.6%,27%,6%,15%,20%,8%,46%,<1%,21%,34%,17%,49%,<1%,4%,Yes,Yes,Yes,Yes,Yes,Yes,Pending,0,NJ
261,DIAMOND INSTITUTE FOR INFERTILITY & MENOPAUSE,,MILLBURN,NEW JERSEY,"Matan Yemini, MD",63,46,36,24,46.0%,19.6%,22.2%,4.2%,38.1%,19.6%,19.4%,4.2%,61,38,33,20,47.5%,23.7%,24.2%,5.0%,39.3%,23.7%,21.2%,5.0%,77,34,27,11,37.7%,26.5%,29.6%,* / 11,31.2%,26.5%,25.9%,* / 11,2.2,5.1,4.5,24.0,44.7%,28.6%,* / 13,* / 10,51.1%,28.6%,* / 13,* / 10,51.1%,28.6%,* / 13,* / 10,1.2,1.2,1.2,1.2,1.2,0.9,0.9,0.6,0,0,30,8,,,30.0%,* / 8,,,16.7%,* / 8,115,75,81,114,385,3.8%,6.1%,20.7%,14.8%,12.2%,8.8%,5.5%,15.9%,21.0%,13.1%,0.0%,1.3%,1.2%,0.9%,0.8%,1.2%,0.0%,0.0%,3.6%,1.3%,71.1%,85.4%,56.4%,76.8%,73.0%,88.0%,85.4%,97.4%,76.8%,86.3%,36.1%,50.0%,33.3%,48.2%,41.6%,40%,4%,21%,22%,8%,0%,<1%,50%,26%,10%,2%,1%,7%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NJ
262,"COOPER INSTITUTE FOR REPRODUCTIVE HORMONAL DISORDERS, PC",,MOUNT LAUREL,NEW JERSEY,"Jerome H. Check, MD, PhD",98,75,93,143,33.7%,25.3%,20.4%,4.9%,25.5%,22.7%,16.1%,4.2%,89,67,77,123,37.1%,28.4%,24.7%,5.7%,28.1%,25.4%,19.5%,4.9%,97,58,68,102,34.0%,32.8%,27.9%,6.9%,25.8%,29.3%,22.1%,5.9%,3.0,3.9,4.9,20.4,38.9%,37.5%,20.0%,6.3%,48.1%,37.5%,30.0%,6.3%,50.0%,43.8%,33.3%,9.4%,1.3,1.6,1.5,1.8,1.1,0.9,0.7,0.8,*,6,38,6,* / *,* / 6,28.9%,* / 6,* / *,* / 6,26.3%,* / 6,168,126,128,188,610,4.4%,14.9%,12.5%,21.1%,13.2%,31.1%,26.1%,29.7%,28.4%,29.0%,1.8%,2.4%,0.8%,0.0%,1.1%,1.1%,2.6%,1.4%,4.5%,2.5%,61.3%,54.5%,38.4%,64.9%,56.2%,45.2%,46.8%,32.9%,28.8%,37.9%,7.5%,7.8%,9.6%,3.6%,6.8%,27%,6%,22%,10%,3%,6%,<1%,45%,10%,2%,11%,1%,7%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NJ
263,FERTILITY INSTITUTE OF NEW JERSEY AND NEW YORK,,ORADELL,NEW JERSEY,"Zalman Levine, MD",77,42,58,55,74.0%,47.6%,31.0%,5.5%,64.9%,42.9%,31.0%,5.5%,74,38,52,49,77.0%,52.6%,34.6%,6.1%,67.6%,47.4%,34.6%,6.1%,81,34,39,18,70.4%,58.8%,46.2%,* / 18,61.7%,52.9%,46.2%,* / 18,1.4,2.1,3.2,18.3,76.9%,54.5%,25.7%,0.0%,83.1%,59.1%,42.9%,3.7%,83.1%,59.1%,45.7%,3.7%,1.1,1.1,1.4,1.3,1.1,0.9,0.7,0.2,0,0,32,0,,,56.3%,,,,40.6%,,171,98,83,93,445,4.9%,8.3%,7.0%,12.5%,7.9%,6.6%,5.3%,11.3%,17.4%,9.4%,4.7%,4.1%,3.6%,0.0%,3.4%,2.2%,0.0%,0.0%,4.9%,1.8%,95.5%,92.3%,86.4%,85.4%,91.2%,91.0%,86.5%,88.6%,78.0%,87.2%,66.3%,69.2%,45.5%,63.4%,62.4%,44%,8%,18%,33%,25%,1%,<1%,59%,39%,9%,51%,<1%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NJ
264,VALLEY HOSPITAL FERTILITY CENTER,,PARAMUS,NEW JERSEY,"Ali Nasseri, MD, PhD",68,53,78,62,47.1%,32.1%,15.4%,8.1%,39.7%,24.5%,14.1%,8.1%,63,48,61,53,50.8%,35.4%,19.7%,9.4%,42.9%,27.1%,18.0%,9.4%,60,34,36,19,53.3%,50.0%,33.3%,5 / 19,45.0%,38.2%,30.6%,5 / 19,2.1,3.1,6.5,12.4,47.6%,39.3%,12.5%,4.0%,52.4%,46.4%,18.8%,8.0%,52.4%,50.0%,21.9%,8.0%,1.2,1.3,1.5,1.7,0.9,0.7,0.6,0.3,*,8,12,*,* / *,* / 8,6 / 12,* / *,* / *,* / 8,6 / 12,* / *,154,135,132,98,519,4.9%,21.0%,9.5%,25.7%,15.0%,8.7%,8.5%,13.6%,17.5%,11.4%,5.8%,3.7%,2.3%,5.1%,4.2%,3.7%,4.3%,1.6%,11.1%,4.4%,79.0%,72.9%,76.2%,63.9%,74.4%,46.9%,45.7%,34.9%,25.0%,40.4%,67.9%,60.0%,65.1%,58.3%,63.6%,30%,5%,18%,16%,7%,10%,1%,27%,43%,4%,17%,2%,12%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NJ
265,DAMIEN FERTILITY PARTNERS,,SHREWSBURY,NEW JERSEY,"Miguel Damien, MD",104,70,54,54,52.9%,31.4%,11.1%,3.7%,45.2%,28.6%,11.1%,3.7%,104,66,47,48,52.9%,33.3%,12.8%,4.2%,45.2%,30.3%,12.8%,4.2%,112,59,30,26,49.1%,37.3%,20.0%,7.7%,42.0%,33.9%,20.0%,7.7%,1.9,3.2,9.0,27.0,57.5%,35.1%,7.7%,0.0%,64.4%,37.8%,7.7%,0.0%,64.4%,43.2%,7.7%,0.0%,1.2,1.4,1.3,1.4,1.1,0.9,0.6,0.4,*,21,20,7,* / *,28.6%,35.0%,* / 7,* / *,23.8%,35.0%,* / 7,197,103,105,120,525,2.9%,3.4%,6.0%,5.9%,4.4%,8.2%,6.9%,14.9%,23.3%,12.7%,1.5%,2.9%,4.8%,2.5%,2.7%,0.0%,0.0%,0.0%,2.9%,0.6%,63.8%,68.3%,60.0%,50.0%,61.2%,58.9%,68.3%,60.0%,57.4%,60.6%,36.2%,36.5%,41.8%,13.2%,32.4%,32%,19%,12%,6%,6%,5%,<1%,17%,23%,2%,34%,1%,9%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NJ
266,CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,"LOUIS R. MANARA, DO",VOORHEES,NEW JERSEY,"Louis R. Manara, DO",40,25,38,22,40.0%,56.0%,23.7%,0.0%,40.0%,44.0%,21.1%,0.0%,38,23,35,15,42.1%,60.9%,25.7%,0 / 15,42.1%,47.8%,22.9%,0 / 15,50,34,31,12,32.0%,41.2%,29.0%,0 / 12,32.0%,32.4%,25.8%,0 / 12,2.5,1.8,4.2,,37.9%,8 / 16,7 / 16,0 / 6,44.8%,9 / 16,8 / 16,0 / 6,48.3%,9 / 16,9 / 16,0 / 6,1.2,1.2,1.9,2.5,1.3,1.4,0.9,0.5,*,0,11,0,* / *,,5 / 11,,* / *,,5 / 11,,82,63,59,28,232,5.4%,10.0%,9.7%,* / 14,8.9%,3.8%,8.3%,3.6%,7.7%,5.4%,1.2%,0.0%,0.0%,0.0%,0.4%,0.0%,0.0%,2.4%,* / 18,1.4%,89.6%,82.1%,68.3%,14 / 18,80.1%,89.6%,82.1%,90.2%,17 / 18,88.4%,2.1%,2.6%,12.2%,* / 18,6.2%,27%,3%,9%,19%,<1%,4%,0%,18%,28%,3%,12%,1%,20%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,NJ
267,"CAPERTON FERTILITY INSTITUTE, LLC",,ALBUQUERQUE,NEW MEXICO,"Charles L. Caperton, MD",90,54,37,30,38.9%,27.8%,18.9%,0.0%,36.7%,27.8%,13.5%,0.0%,85,50,29,27,41.2%,30.0%,24.1%,0.0%,38.8%,30.0%,17.2%,0.0%,61,22,11,*,57.4%,68.2%,7 / 11,0 / *,54.1%,68.2%,5 / 11,0 / *,2.6,3.6,5.3,,43.3%,20.7%,* / 19,0 / 9,46.3%,27.6%,* / 19,0 / 9,49.3%,31.0%,* / 19,0 / 9,1.3,1.4,1.5,1.2,0.7,0.3,0.2,0.0,0,0,35,*,,,51.4%,* / *,,,48.6%,* / *,183,69,51,51,354,6.6%,5.6%,2.9%,0.0%,4.9%,5.6%,11.9%,12.0%,7.8%,8.1%,2.2%,5.8%,2.0%,2.0%,2.8%,0.0%,0.0%,0 / 17,19.2%,3.1%,100.0%,100.0%,17 / 17,100.0%,100.0%,96.6%,96.3%,16 / 17,96.2%,96.2%,98.9%,100.0%,16 / 17,100.0%,98.7%,18%,42%,12%,22%,21%,4%,1%,26%,52%,8%,3%,6%,1%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,NM
